subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
pmH51,.الرجاء تسمية هذه الصورة,200.31,20908,نجمه,23615,224.992,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,256.029,30917,خماسي,12116,269.22,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_100.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,295.586,26293,لا اعرف,1410,298.018,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_130.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,322.623,24569,شكل رباعي,3931,327.583,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_70.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,340.565,12947,نجمه,1664,343.258,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,352.484,9194,نجمه,1280,354.792,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,371.273,16449,زئب,1398,373.705,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,405.162,31432,شكل نجمه غير مكتمل,1478,407.67,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_280.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,430.245,22542,مثلث,1110,432.383,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,456.776,24361,شكل أشبه بالوعاء,1582,459.391,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_160.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,487.669,28240,خماسي,2025,490.726,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_250.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,521.565,30806,شكل معين,2067,524.658,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_220.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,546.324,21630,لا اعرف,3436,550.783,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_190.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,573.449,22634,شكل رباعي,1952,576.451,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_40.png,1,trial_lists/trial_list_1
pmH51,.الرجاء تسمية هذه الصورة,591.674,15188,مربع,1321,594.02,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,1,trial_lists/trial_list_1
