subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
poeY7,.الرجاء تسمية هذه الصورة,16.147,5790,نجمة,13903,31.064,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_230.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,38.329,7221,مثلث,2331,41.666,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,54.806,13094,لهايّة,2037,57.848,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,74.944,17056,بطريق,4599,80.552,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_320.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,251.358,170768,ع,2112,254.491,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,261.404,6858,صدفة..,4781,267.192,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,274.527,7291,تاج,6138,281.672,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,294.483,12774,تاج ثاني,2988,298.477,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_260.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,307.133,8610,مُربع,1755,309.893,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,2,trial_lists/trial_list_2
poeY7,.الرجاء تسمية هذه الصورة,317.517,7586,مزهرية,1588,320.111,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_170.png,2,trial_lists/trial_list_2
