subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
q1GUh,.الرجاء تسمية هذه الصورة,54.264,31881,نجمة البحر,58470,113.751,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_20.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,172.105,58328,فستان طفلة,5580,178.696,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,192.049,13313,مربع,6185,199.241,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,213.612,14329,جوهرة,1677,216.3,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_320.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,233.626,17283,تاج,2157,236.79,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,261.625,24791,نجمة البحر,3924,266.556,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_350.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,284.438,17843,فستان طفلة,2796,288.241,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_110.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,311.148,22873,فازة,12475,324.63,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,330.223,5553,كلب,3349,334.58,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,347.409,12787,علامة x,2435,350.851,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_50.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,357.204,6311,مثلث,1671,359.882,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,421.503,61581,جوهرة,1929,424.441,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_290.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,532.031,107550,شكل غريب,2636,535.672,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_200.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,541.6,5887,جوهرة,2366,544.973,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_260.png,2,trial_lists/trial_list_2
q1GUh,.الرجاء تسمية هذه الصورة,557.576,12562,فستان,2193,560.775,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
