subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
qIN4h,.الرجاء تسمية هذه الصورة,139.017,13950,مربعا,42197,182.256,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,191.774,9470,قبعه,12349,205.138,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,215.76,10579,دب,3701,220.477,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,242.313,21781,اكس,3453,246.781,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_40.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,272.799,25970,أرنب,1985,275.799,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_70.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,286.728,10886,مثلث,1642,289.385,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,306.222,16800,جسم,2704,310.008,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_130.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,333.655,23570,نجم شجارة الكريسمس,4920,339.589,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_310.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,348.236,8590,منزل,1660,350.91,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_220.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,359.356,8400,قبعه,3508,363.875,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_250.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,372.976,9057,نجم,2956,376.947,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_340.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,432.083,55100,شهب,4592,437.718,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_10.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,446.966,9205,ذئب,1436,449.416,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,461.51,12047,شعار الشرطة,2932,465.453,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_190.png,1,trial_lists/trial_list_1
qIN4h,.الرجاء تسمية هذه الصورة,473.557,8065,أرنب,3733,478.302,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_100.png,1,trial_lists/trial_list_1
