subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
r4Lpj,.الرجاء تسمية هذه الصورة,36.727,20678,نجمة متخلفه,9232,46.979,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_330.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,70.35,23324,نجمة متوازية الاضلاع,2701,74.058,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_240.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,93.991,19894,مش نجمة ابدا,6981,101.979,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_210.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,124.44,22416,وجه ارنب,5801,131.247,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_90.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,159.582,28292,نجمة الا شويا,1841,162.428,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,187.091,24621,نجمة صح,3566,191.663,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,215.113,23410,ارنب تخين / فازه / مزهرية,2226,218.349,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_120.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,232.167,13777,وجهه,1576,234.75,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_180.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,244.174,9378,مثلث ولد ناس,2020,247.2,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,294.798,47557,خيمه,2650,298.453,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_300.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,305.915,7421,مربع,1682,308.603,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,320.099,11455,نجمة تخينه,2048,323.152,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,334.648,11456,فازه / مزهرية,1935,337.588,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_150.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,355.508,17875,بوقة حبر في مويا,1689,358.204,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_60.png,3,trial_lists/trial_list_3
r4Lpj,.الرجاء تسمية هذه الصورة,369.626,11384,كلب,2689,373.324,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,3,trial_lists/trial_list_3
