subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
rkKSM,.الرجاء تسمية هذه الصورة,35.927,18443,ارنب,9146,46.114,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_80.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,54.904,8712,نجمة,1736,57.677,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_350.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,77.507,19780,ڤازة,1225,79.763,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_170.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,86.731,6916,نجمة,1935,89.696,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_20.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,114.655,24901,طبق,2448,118.129,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,129.249,11069,Fox,1182,131.474,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,186.965,55439,نجمة علل مربع,16649,204.641,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_260.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,232.404,27704,ڤازة,1893,235.335,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_140.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,246.738,11343,مثلث,1802,249.578,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,283.574,33945,قصيرة زرع,1936,286.551,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_290.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,291.377,4752,مربع,12431,304.844,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,329.209,24316,لعبة,1363,331.601,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_50.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,337.934,6287,ڤازة,1706,340.672,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_110.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,361.641,20915,Shurikin,2378,365.05,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_320.png,2,trial_lists/trial_list_2
rkKSM,.الرجاء تسمية هذه الصورة,376.591,11483,ڤازة,2518,380.142,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_200.png,2,trial_lists/trial_list_2
