subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
s4YyP,.الرجاء تسمية هذه الصورة,34.036,17179,نجمة القطب,17173,52.239,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_340.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,62.485,10204,مربع,10520,74.026,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,114.051,39994,شبه نجمة,9159,124.228,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_310.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,134.102,9843,خماسي,2061,137.18,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_220.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,165.412,28199,شبه نجمة,986,167.414,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_250.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,204.325,36879,نجمة قطب برسم هشوائي,1202,206.544,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,219.708,13133,شكل عشوائي,835,221.558,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,230.634,9045,فستان,1347,232.998,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_70.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,241.996,8967,شبه نجمة,1029,244.04,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,252.557,8492,كلب,1564,255.141,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,265.225,10054,سبينر,842,267.084,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_40.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,303.429,36311,شكل,755,305.199,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_160.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,312.798,7568,مثلث,1077,314.894,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,323.454,8524,مزهرية,1729,326.198,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
s4YyP,.الرجاء تسمية هذه الصورة,335.579,9357,فستان,804,337.399,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_100.png,1,trial_lists/trial_list_1
