subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
sCpuh,.الرجاء تسمية هذه الصورة,64.728,33217,ذئبمكلب,10245,75.982,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,96.09,20068,ارنب,5724,102.819,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,169.678,66827,فازة,1626,172.318,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_180.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,210.697,38330,حلة,1764,213.467,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,228.545,15050,قلادة,1669,231.219,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_330.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,267.774,36524,اسبنر,2224,271.003,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_30.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,276.799,5764,مثلث,2152,279.956,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,291.89,11903,فخار,1811,294.707,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_210.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,298.702,3971,مربع,3333,303.042,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,315.324,12251,طائر,3433,319.763,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_360.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,340.342,20553,فستان,4301,345.65,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,354.78,9100,بكتيريا,3615,359.4,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,389.077,29657,نجمة عصا سحرية,2003,392.087,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_270.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,407.151,15034,طاقية طباخ,2612,410.769,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_300.png,3,trial_lists/trial_list_3
sCpuh,.الرجاء تسمية هذه الصورة,423.55,12747,ارنب,8468,433.025,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_120.png,3,trial_lists/trial_list_3
