subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
tQfy9,.الرجاء تسمية هذه الصورة,24.134,9138,ذئب,5448,30.598,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,36.424,5794,نجمه,2396,39.827,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,47.112,7264,خماسي,3391,51.509,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,67.375,15839,سباعي,1313,69.692,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_190.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,80.242,10517,نجم,10266,91.513,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,101.545,10008,سباعي,1968,104.518,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_250.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,115.895,11347,مثلث,1403,118.31,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,122.778,4436,نجن,1868,125.652,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_310.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,132.974,7294,نجم,1174,135.155,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_40.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,146.914,11727,مربع,2118,150.037,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,164.951,14890,فاظه,3499,169.455,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,175.37,5862,نجم,3671,180.047,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,186.727,6650,فاظه,1714,189.446,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_100.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,192.794,3321,فاطه,1833,195.633,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
tQfy9,.الرجاء تسمية هذه الصورة,206.312,10651,فاظه,2580,209.897,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_70.png,1,trial_lists/trial_list_1
