subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
tSnfE,.الرجاء تسمية هذه الصورة,60.843,18475,خماسي,24914,86.773,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_250.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,113.612,26811,مموج,7330,121.95,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_70.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,135.541,13562,معين,3577,140.125,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,150.801,10648,خماسي,3899,155.707,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_220.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,162.06,6325,نجمة,1508,164.576,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,172.573,7970,مموج,2217,175.801,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_100.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,181.261,5432,معرف,2517,184.785,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,192.342,7529,مربع,1584,194.934,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,201.626,6665,خماسي,1965,204.599,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,209.79,5163,مموج,1294,212.092,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_40.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,217.114,4993,مثلث,1180,219.301,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,224.291,4960,نجمة,1624,226.922,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,231.592,4641,مموج,923,233.524,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_130.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,243.221,9669,نصف نجمة,1377,245.606,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_310.png,1,trial_lists/trial_list_1
tSnfE,.الرجاء تسمية هذه الصورة,253.894,8259,ذئب,2004,256.905,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
