subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
u2iyn,.الرجاء تسمية هذه الصورة,44.299,32105,لوحة حجرية,19622,64.952,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,70.74,5738,نجمة,3060,74.822,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,81.288,6433,مربع,1623,83.935,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,92.169,8203,نجمة بحر,3113,96.303,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_360.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,114.56,18224,Swimming suit,3567,119.15,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,130.927,11746,بوصلة,2725,134.674,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_330.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,155.609,20906,Exagone,3304,159.93,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,172.068,12107,Spinner,1446,174.53,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_30.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,181.239,6670,مثلث,1042,183.304,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,196.136,12804,كلب,1969,199.127,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,214.246,15079,Curvy body,2266,217.534,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,240.829,23256,مشروع خماسي الاضلاع,3105,244.947,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,253.739,8761,بقعة,2679,257.438,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_60.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,265.262,7789,فستان,1710,267.988,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
u2iyn,.الرجاء تسمية هذه الصورة,276.308,8287,نجمة,1739,279.067,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_300.png,3,trial_lists/trial_list_3
