subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ugWKY,.الرجاء تسمية هذه الصورة,39.995,28776,اميبا,23611,64.629,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_50.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,77.548,12871,أرنوب,4389,82.952,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,91.982,8996,دب,4957,97.954,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_170.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,106.451,8459,نجمه,1340,108.81,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,147.659,38810,زهرة,925,149.601,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_20.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,169.266,19601,مزهريه او راس حيوان,2567,172.848,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_140.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,185.586,12703,ايس كريم,1567,188.169,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,197.779,9573,فراغ,2172,200.968,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,224.426,23425,نص ذئب ونص كلب,3368,228.809,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,254.123,25274,انتيك,1497,256.636,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_230.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,273.489,16817,لا يوجد صوره,3720,278.223,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_260.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,307.228,28970,غزال او ماعز,1377,309.625,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,331.348,21683,هرم,1443,333.807,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,349.629,15790,شيخ بعمه,1546,352.192,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_200.png,2,trial_lists/trial_list_2
ugWKY,.الرجاء تسمية هذه الصورة,365.649,13422,ارنب,1042,367.708,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
