subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
vB9tg,.الرجاء تسمية هذه الصورة,99.039,18085,ثماني,14209,114.27,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_240.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,127.442,13148,نجمة,2914,131.361,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_360.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,388.464,257060,لطخه,2313,391.819,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_90.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,408.439,16565,عشراي,3502,412.949,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_330.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,422.607,9618,تساعي,1575,425.189,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,453.349,28117,عشراي,2965,457.32,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_300.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,462.598,5241,لطخه,1337,464.943,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,470.67,5688,مثلث,3303,474.979,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,478.233,3214,مربع,1331,480.57,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,595.181,114569,مجسم,1429,597.626,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,608.109,10426,لطخه حلوه شوي,3225,612.34,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_120.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,619.543,7161,خماسي,1807,622.356,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,629.817,7423,كلب,2115,632.94,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,653.763,20784,قالب,1189,655.959,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_180.png,3,trial_lists/trial_list_3
vB9tg,.الرجاء تسمية هذه الصورة,665.299,9300,لطخه,11207,677.512,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
