subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
wRiTz,.الرجاء تسمية هذه الصورة,33.331,23629,مقعر,19250,53.592,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_90.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,74.566,20949,نجمه,6121,81.691,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_300.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,103.647,21933,رباعي غير منتظم,2502,107.154,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,120.482,13305,ثماني منتظم,6604,128.09,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,141.685,13573,نجمه رباعيه,2182,144.87,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,150.116,5222,معين,1487,152.609,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_330.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,161.616,8984,كلب,1419,164.039,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,170.283,6221,شكل,5253,176.54,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_180.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,182.551,5987,مربع,2567,186.123,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,194,7856,غير منظم,1251,196.255,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,220.503,24223,نجم تساعي منتظم,1613,223.13,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_270.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,237.77,14625,خماسي غير منتظم,1282,240.057,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,255.471,15390,متلث حاد الزويا,3532,260.007,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,264.935,4903,نجمه,2468,268.407,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_360.png,3,trial_lists/trial_list_3
wRiTz,.الرجاء تسمية هذه الصورة,273.413,4983,شكل,1907,276.325,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_150.png,3,trial_lists/trial_list_3
