subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
wYCqJ,.الرجاء تسمية هذه الصورة,37.248,9901,درع,1535,39.808,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_200.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,53.57,13725,مليكان,1319,55.909,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_140.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,81.69,25754,نجمه بسيف,1932,84.647,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_320.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,93.044,8339,هرم,2537,96.608,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,102.424,5760,بقعه,1174,104.62,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_20.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,111.954,7283,بقعه,1474,114.456,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_50.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,138.991,24479,زئب,1755,141.781,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,168.041,26202,فستان,1525,170.586,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_110.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,176.868,6238,مربع,1449,179.356,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,187.362,7949,نجمه,1516,189.898,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_350.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,220.168,30233,ميام,1721,222.921,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_80.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,240.909,17949,نص مربع نص نجمة,2614,244.548,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_290.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,262.219,17614,نص نجمه نص مربع,2126,265.366,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_260.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,316.463,51062,ا,1571,319.051,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_230.png,2,trial_lists/trial_list_2
wYCqJ,.الرجاء تسمية هذه الصورة,326.376,7292,فازه,1702,329.1,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_170.png,2,trial_lists/trial_list_2
