subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
wqiva,.الرجاء تسمية هذه الصورة,75.825,9567,ذئب,12187,89.043,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,100.118,11043,نجمة,13104,114.251,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_20.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,125.659,11380,نجمة,1193,127.881,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_350.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,143.222,15318,لا اعلم,4028,148.271,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_50.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,161.786,13475,رأس دب,2203,165.013,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_140.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,188.881,23830,منزل,2084,191.986,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_230.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,201.347,9340,قبعة,1647,204.026,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_260.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,213.206,9157,قبعة,1558,215.781,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_290.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,224.816,9015,رأس أرنب,1454,227.288,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_80.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,234.821,7504,رأس كرتون,3581,239.422,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_110.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,245.125,5673,مربع,2079,248.235,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,257.253,8990,لا اعلم,1341,259.636,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,264.455,4806,مثلث,1231,266.726,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,278.186,11434,خلبة,4689,283.888,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_170.png,2,trial_lists/trial_list_2
wqiva,.الرجاء تسمية هذه الصورة,317.673,33772,ثماني,1962,320.653,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_200.png,2,trial_lists/trial_list_2
