subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
xLQJ8,.الرجاء تسمية هذه الصورة,113.026,22210,لا اعلم,19160,133.198,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,142.765,9535,نجمة رباعية,6618,150.389,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_30.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,163.25,12828,نجمة رباعية منتظمة,2249,166.504,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,184.026,17490,خماسي غير مستقيم,4355,189.385,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_210.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,202.936,13518,شبه نجمة رباعية,2165,206.107,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_330.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,225.042,18903,مائع يشبه الشيء رخو,6294,232.341,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_60.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,251.904,19532,نجمة ذات قاعدة,4762,257.671,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,273.194,15490,قبعة الطاهي,7515,281.713,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_300.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,287.315,5568,مثلث,2101,290.421,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,296.043,5592,كلب,1557,298.606,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,313.455,14817,شكل مائع اخر,1410,315.87,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_90.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,331.316,15412,لقد تم الاجابة سابقا,1840,334.16,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_270.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,346.676,12485,لقد تم الاجابة سابقا,1450,349.132,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_150.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,353.219,4053,مربع,2041,356.266,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,3,trial_lists/trial_list_3
xLQJ8,.الرجاء تسمية هذه الصورة,366.815,10516,لقد تم الاجابة سابقا,3860,371.68,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_120.png,3,trial_lists/trial_list_3
