subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
xNuS8,.الرجاء تسمية هذه الصورة,48.898,14960,لا اعلم,16157,66.132,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_60.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,80.399,14153,مربع نجمه,8074,89.494,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,111.075,21526,لا أعلم ما هذه الأسئلة,8696,120.795,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,136.254,15416,المثلث,1408,138.686,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,150.545,11831,Idk,2683,154.247,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,165.708,11425,مستطيل,3900,170.633,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,178.681,8023,ضفدع,1899,181.599,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,188.003,6369,ثعلب,1909,190.936,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,195.911,4943,ارنب,1914,198.844,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_90.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,203.566,4684,لا اعلم,879,205.46,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,210.343,4858,لا اعلم,1820,213.184,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,217.678,4458,Idk,968,219.664,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,223.627,3926,Idk,734,225.383,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_120.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,228.524,3113,Idk,795,230.347,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_330.png,3,trial_lists/trial_list_3
xNuS8,.الرجاء تسمية هذه الصورة,233.693,3310,Idk,798,235.511,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_210.png,3,trial_lists/trial_list_3
