subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
xn6YC,.الرجاء تسمية هذه الصورة,76.194,11073,نجمه,18873,96.099,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,104.818,8673,مثلث,3532,109.371,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,131.9,22494,شكل هندسي غير منتظم,4276,137.206,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,147.751,10507,خماسي الاوجه,2557,151.329,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_220.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,168.081,16720,شكل هندسي شبه نجمي,2365,171.476,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,179.617,8108,.,1813,182.445,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_190.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,193.261,10786,جسم غريب,2373,196.678,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,215.065,18357,نجمه مربعه القاعده,2051,218.132,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_280.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,231.895,13730,مزهريه,1502,234.425,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_100.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,247.511,13056,مزهريه بشكل آخر,3092,251.623,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_130.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,264.965,13313,كروموسوم,1446,267.443,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_70.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,281.836,14361,نجمه محدده الاوجه,1930,284.79,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,294.454,9631,صليب,3894,299.404,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,308.977,9542,كلب,4649,314.666,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,1,trial_lists/trial_list_1
xn6YC,.الرجاء تسمية هذه الصورة,320.215,5518,مربع,2000,323.234,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,1,trial_lists/trial_list_1
