subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
yM9Wg,.الرجاء تسمية هذه الصورة,94.742,53516,Decagon,16328,112.234,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,124.236,11836,مربع,1723,127.032,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,137.895,10697,ملابس طفل,20791,159.742,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_100.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,176.719,16811,نجمه بقاعدة مربع,2009,179.758,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_280.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,187.155,7336,مثلث,988,189.176,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,216.242,27004,نجمه بخطوط مموجه,2158,219.423,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,240.212,20736,نجمه,1249,242.486,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,251.676,9155,نجمه مموجه,2325,255.028,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_40.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,277.386,22303,نجمه بقاعدة مربع,2561,280.968,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_250.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,416.925,135907,Pentagon,2082,420.09,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_220.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,429.889,9567,دب,996,431.914,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,436.873,4874,شارة,1902,439.814,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_190.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,472.129,32198,لون مسموب,3114,476.268,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_70.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,485.936,9602,تيشرت,1774,488.739,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
yM9Wg,.الرجاء تسمية هذه الصورة,502.367,13566,كلب,2017,505.412,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
