subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
yN5tO,.الرجاء تسمية هذه الصورة,49.154,18156,فخاره,22424,72.599,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_140.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,79.446,6787,نجمة,6560,87.021,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_260.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,96.725,9648,وردة,2184,99.924,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_20.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,110.263,10280,نجمة,1023,112.299,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_230.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,122.206,9885,كلب,2450,125.672,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,135.868,10132,مثلث,1357,138.242,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,148.534,10243,رأس,1944,151.49,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_170.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,156.797,5283,نجمة,956,158.766,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_350.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,179.682,20893,٠,2032,182.727,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_200.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,200.553,17779,رأس,774,202.338,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_80.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,207.26,4899,نجمة,2235,210.508,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_320.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,218.929,8366,زائد,2351,222.296,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_50.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,226.412,4054,نجمة,2175,229.602,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_290.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,235.197,5531,رأس,2000,238.212,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_110.png,2,trial_lists/trial_list_2
yN5tO,.الرجاء تسمية هذه الصورة,242.749,4488,مربع,2266,246.03,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,2,trial_lists/trial_list_2
