subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
yUdHg,.الرجاء تسمية هذه الصورة,52.955,24516,جسم,11451,65.42,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_160.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,87.482,22030,شكل هندسي,2152,90.642,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,122.725,32057,Cupcake,2801,126.533,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_250.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,133.527,6961,بكتيريا,1753,136.286,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_40.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,141.692,5383,مثلت,1972,144.671,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,156.534,11841,خرابيش,1907,159.447,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_190.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,198.048,38571,..,1549,200.606,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_130.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,216.659,16023,نجمة مميزة,1612,219.275,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,224.157,4853,اطار,1492,226.656,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,233.274,6592,Cupcake,2051,236.333,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
yUdHg,.الرجاء تسمية هذه الصورة,248.157,11791,شعار,1990,251.154,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_310.png,1,trial_lists/trial_list_1
