subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
yn9HU,.الرجاء تسمية هذه الصورة,27.65,21215,رسمة,15017,43.679,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_120.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,79.144,35443,نجمة تطير من داخل الصندوق,28539,108.688,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,118.999,10298,مربع,2418,122.422,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,130.489,8045,لا اعلم,1801,133.295,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_180.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,164.232,30918,خماسي برسم سيء,1291,166.527,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_210.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,176.997,10450,بريق,1091,179.093,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,191.966,12852,بقعه,3689,196.659,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,207.847,11167,كلب,2874,211.726,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,245.212,33466,مثلث متطابق الزوايا,3945,250.162,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,270.448,20262,نجمة طائرة من صندوق,1411,272.864,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_240.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,281.874,8989,ورسمة,4319,287.196,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_90.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,305.48,18263,رسمة,4526,311.009,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,336.874,25844,ذيل سمكة,5524,343.402,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,362.761,19337,مزهرية,3444,367.21,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_150.png,3,trial_lists/trial_list_3
yn9HU,.الرجاء تسمية هذه الصورة,382.068,14837,كأس,3827,386.9,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
