subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
zNqVU,.الرجاء تسمية هذه الصورة,48.549,44214,نجمة ذو قاعدة تستند عليها,13963,63.549,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,116.362,52762,شكل سباعي غير منظم الاضلاع,1758,119.148,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_210.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,130.348,11163,اللاشيء,2526,133.909,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,139.207,5262,مثلث,1650,141.882,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,151.608,9693,نجمة,1925,154.572,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_360.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,184.847,30233,مزهرية,3171,189.052,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_150.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,203.781,14635,مزهرية بس شكل ثاني,4723,209.535,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_90.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,226.814,17227,نجمة الها قاعدة مدببة,2304,230.139,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,238.211,8034,نجمة,1773,241.003,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_30.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,249.127,8089,مزهرية,2574,252.731,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,265.753,12970,نجمربع,2481,269.262,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_270.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,285.92,16617,غيمة مثل الي بسبونج بوب,2241,289.191,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_60.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,321.876,32632,انحناءات بلا معنى,1218,324.126,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,333.194,9018,نجمربع,2904,337.127,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_240.png,3,trial_lists/trial_list_3
zNqVU,.الرجاء تسمية هذه الصورة,362.348,25169,الاكس لا راح ولا اجا,2391,365.772,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,3,trial_lists/trial_list_3
