subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
0G9ar,请为此图片命名,63.538,49947,四角星,50201,114.759,3,这个名字有多适合这个图片？,1,VCS_20.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,122.79,8005,兔子饼干,5847,129.643,3,这个名字有多适合这个图片？,2,VCS_110.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,141.845,12177,像皇冠的东西,2525,145.377,2,这个名字有多适合这个图片？,3,VCS_290.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,158.514,13111,飞镖,2217,161.736,2,这个名字有多适合这个图片？,4,VCS_50.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,170.898,9137,罐子,3729,175.633,2,这个名字有多适合这个图片？,5,VCS_140.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,192.842,17184,狗狗,2435,196.283,2,这个名字有多适合这个图片？,6,dog.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,201.831,5527,饼干,1800,204.637,3,这个名字有多适合这个图片？,7,VCS_170.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,212.865,8203,兔子,2181,216.052,3,这个名字有多适合这个图片？,8,VCS_80.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,222.346,6269,皇冠,1447,224.799,2,这个名字有多适合这个图片？,9,VCS_260.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,235.964,11140,皇冠,1586,238.556,2,这个名字有多适合这个图片？,10,VCS_320.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,244.314,5736,三角形,1584,246.902,2,这个名字有多适合这个图片？,11,triangle.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,258.176,11247,正方形,1596,260.784,2,这个名字有多适合这个图片？,12,square.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,268.139,7328,罐子,5853,274.998,2,这个名字有多适合这个图片？,13,VCS_200.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,282.139,7115,四角星,1632,284.777,2,这个名字有多适合这个图片？,14,VCS_350.png,2,trial_lists/trial_list_2
0G9ar,请为此图片命名,294.353,9552,皇冠,4837,300.197,2,这个名字有多适合这个图片？,15,VCS_230.png,2,trial_lists/trial_list_2
