subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
10uDq,请为此图片命名,26.378,13508,杯子,20459,47.861,2,这个名字有多适合这个图片？,1,VCS_170.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,90.803,42913,异型,7999,99.823,1,这个名字有多适合这个图片？,2,VCS_320.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,120.797,20933,小山,4889,126.698,2,这个名字有多适合这个图片？,3,triangle.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,150.858,24146,游泳衣,1837,153.711,2,这个名字有多适合这个图片？,4,VCS_110.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,190.568,36823,尖帽子,4232,195.812,4,这个名字有多适合这个图片？,5,VCS_260.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,249.168,53348,无头小人,6614,256.806,4,这个名字有多适合这个图片？,6,VCS_50.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,287.258,30411,女性T恤,2018,290.301,4,这个名字有多适合这个图片？,7,VCS_80.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,304.871,14529,四角星,1500,307.392,2,这个名字有多适合这个图片？,8,VCS_350.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,333.753,26321,粮仓,1281,336.058,4,这个名字有多适合这个图片？,9,VCS_230.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,345.948,9856,屏幕,3172,350.143,2,这个名字有多适合这个图片？,10,square.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,363.306,13121,空白,3160,367.489,2,这个名字有多适合这个图片？,11,VCS_140.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,380.835,13309,狼,5794,387.652,4,这个名字有多适合这个图片？,12,dog.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,402.009,14321,跳跃,2450,405.487,4,这个名字有多适合这个图片？,13,VCS_20.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,439.622,34096,杯子,2118,442.762,2,这个名字有多适合这个图片？,14,VCS_200.png,2,trial_lists/trial_list_2
10uDq,请为此图片命名,491.398,48605,多边形,3080,495.499,2,这个名字有多适合这个图片？,15,VCS_290.png,2,trial_lists/trial_list_2
