subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
2GF8t,请为此图片命名,22.573,11412,狗头,6967,30.557,2,这个名字有多适合这个图片？,1,VCS_150.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,38.137,7551,五边形,2664,41.808,3,这个名字有多适合这个图片？,2,VCS_210.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,47.435,5601,手里剑,2487,50.929,3,这个名字有多适合这个图片？,3,VCS_30.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,61.462,10508,皇冠,2694,65.161,2,这个名字有多适合这个图片？,4,VCS_240.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,72.006,6816,空白,1881,74.892,3,这个名字有多适合这个图片？,5,square.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,82.987,8066,兔头,2108,86.102,4,这个名字有多适合这个图片？,6,VCS_120.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,99.975,13846,国王,1744,102.726,2,这个名字有多适合这个图片？,7,VCS_180.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,107.358,4606,狗,1843,110.207,4,这个名字有多适合这个图片？,8,dog.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,113.955,3721,三角,1174,116.136,4,这个名字有多适合这个图片？,9,triangle.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,123.159,6995,魔法棒,1594,125.762,3,这个名字有多适合这个图片？,10,VCS_300.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,135.974,10184,皇冠,1410,138.391,2,这个名字有多适合这个图片？,11,VCS_270.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,143.003,4584,手里剑,2308,146.317,3,这个名字有多适合这个图片？,12,VCS_360.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,151.137,4795,兔头,1351,153.494,3,这个名字有多适合这个图片？,13,VCS_90.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,174.119,20598,武器,2332,177.457,2,这个名字有多适合这个图片？,14,VCS_330.png,3,trial_lists/trial_list_3
2GF8t,请为此图片命名,186.927,9443,水渍,1668,189.602,3,这个名字有多适合这个图片？,15,VCS_60.png,3,trial_lists/trial_list_3
