subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
2bh84,请为此图片命名,112.693,60833,方底五角星,8540,122.267,4,这个名字有多适合这个图片？,1,VCS_260.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,196.454,74152,圆角十字,4397,201.866,2,这个名字有多适合这个图片？,2,VCS_50.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,227.595,25704,类五边形,1677,230.281,3,这个名字有多适合这个图片？,3,VCS_230.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,246.729,16424,高等腰三角,3603,251.34,4,这个名字有多适合这个图片？,4,triangle.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,327.94,76578,尖弧十字,1623,330.569,2,这个名字有多适合这个图片？,5,VCS_20.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,338.926,8332,类四角星,1498,341.432,3,这个名字有多适合这个图片？,6,VCS_350.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,391.647,50193,平底熊头,1234,393.887,2,这个名字有多适合这个图片？,7,VCS_170.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,433.573,39664,平底尖头形,4103,438.685,2,这个名字有多适合这个图片？,8,VCS_200.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,462.358,23649,类兔头形,1739,465.104,3,这个名字有多适合这个图片？,9,VCS_110.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,481.185,16052,瘦平底五角星,1642,483.834,3,这个名字有多适合这个图片？,10,VCS_290.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,502.787,18930,弧底熊头形,2330,506.125,2,这个名字有多适合这个图片？,11,VCS_140.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,593.825,87678,上凹沙漏,2256,597.087,2,这个名字有多适合这个图片？,12,VCS_80.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,617.344,20233,大方框,3196,621.551,4,这个名字有多适合这个图片？,13,square.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,640.747,19173,钝底四角星,2635,644.392,2,这个名字有多适合这个图片？,14,VCS_320.png,2,trial_lists/trial_list_2
2bh84,请为此图片命名,665.611,21199,半成品狗,5369,671.986,3,这个名字有多适合这个图片？,15,dog.png,2,trial_lists/trial_list_2
