subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
3b0QP,请为此图片命名,40.084,12471,海绵块,15515,56.636,1,这个名字有多适合这个图片？,1,VCS_210.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,70.186,13512,隔热手套,13828,85.067,1,这个名字有多适合这个图片？,2,VCS_270.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,106.294,21189,回形镖,2024,109.352,4,这个名字有多适合这个图片？,3,VCS_330.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,122.267,12886,路由器,1079,124.371,1,这个名字有多适合这个图片？,4,VCS_30.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,173.623,49219,东南西北,2552,177.209,4,这个名字有多适合这个图片？,5,VCS_360.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,191.781,14536,围嘴,1016,193.83,4,这个名字有多适合这个图片？,6,VCS_90.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,257.047,63183,小鱼缸,1324,259.399,4,这个名字有多适合这个图片？,7,VCS_150.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,305.127,45701,穿丝袜的狗,980,307.134,4,这个名字有多适合这个图片？,8,dog.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,370.406,63236,金字塔,1384,372.821,4,这个名字有多适合这个图片？,9,square.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,385.698,12839,盾牌,1621,388.347,4,这个名字有多适合这个图片？,10,VCS_180.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,452.869,64484,融化雪糕,2147,456.042,4,这个名字有多适合这个图片？,11,VCS_60.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,546.559,90489,圣诞树,1103,548.694,4,这个名字有多适合这个图片？,12,triangle.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,560.907,12178,厨师帽,1024,562.959,4,这个名字有多适合这个图片？,13,VCS_300.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,737.653,174667,塑料星星,5374,744.058,4,这个名字有多适合这个图片？,14,VCS_240.png,3,trial_lists/trial_list_3
3b0QP,请为此图片命名,752.259,8161,兔子,3434,756.724,4,这个名字有多适合这个图片？,15,VCS_120.png,3,trial_lists/trial_list_3
