subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
5Rwz7,请为此图片命名,16.718,6315,白,4047,21.777,3,这个名字有多适合这个图片？?,1,square.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,30.088,8283,抽象猫,1599,32.694,2,这个名字有多适合这个图片？?,2,VCS_130.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,39.989,7268,握力,2341,43.334,1,这个名字有多适合这个图片？?,3,VCS_40.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,51.083,7724,背带,1212,53.3,1,这个名字有多适合这个图片？?,4,VCS_70.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,88.28,34955,多边形,2630,91.915,1,这个名字有多适合这个图片？?,5,VCS_250.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,95.105,3164,猫,1745,97.854,2,这个名字有多适合这个图片？?,6,VCS_160.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,106.456,8575,十字星,1452,108.914,2,这个名字有多适合这个图片？?,7,VCS_340.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,117.967,9026,脸的轮廓,1142,120.113,3,这个名字有多适合这个图片？?,8,VCS_190.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,127.202,7071,兔头,2446,130.653,2,这个名字有多适合这个图片？?,9,VCS_100.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,152.175,21496,棱镖,1230,154.41,2,这个名字有多适合这个图片？?,10,VCS_10.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,159.889,5451,等腰三角形,2304,163.199,3,这个名字有多适合这个图片？?,11,triangle.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,169.773,6547,外星人,3231,174.008,1,这个名字有多适合这个图片？?,12,VCS_310.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,179.751,5718,五边形,1011,181.768,3,这个名字有多适合这个图片？?,13,VCS_220.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,194.286,12491,脱毛狗,1109,196.4,3,这个名字有多适合这个图片？?,14,dog.png,1,trial_lists/trial_list_1
5Rwz7,请为此图片命名,205.455,9029,外星人,879,207.341,1,这个名字有多适合这个图片？?,15,VCS_280.png,1,trial_lists/trial_list_1
