subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
87D4L,请为此图片命名,46.775,25167,胸牌,36725,84.519,3,这个名字有多适合这个图片？?,1,VCS_190.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,98.085,13554,规矩,5254,104.36,4,这个名字有多适合这个图片？?,2,square.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,139.098,34729,水杯,4271,144.386,2,这个名字有多适合这个图片？?,3,VCS_160.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,161.743,17345,不规则菱形,2283,165.041,4,这个名字有多适合这个图片？?,4,VCS_340.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,179.361,14312,坐垫,1450,181.82,4,这个名字有多适合这个图片？?,5,VCS_100.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,221.121,20468,背对而坐,1088,223.222,3,这个名字有多适合这个图片？?,7,VCS_130.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,198.091,16262,五角型,1538,200.644,4,这个名字有多适合这个图片？?,6,VCS_220.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,237.956,14723,不规则五星,1489,240.464,3,这个名字有多适合这个图片？?,8,VCS_250.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,249.791,9318,三角形,2352,253.153,4,这个名字有多适合这个图片？?,9,triangle.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,268.678,15516,狗,2203,271.9,4,这个名字有多适合这个图片？?,10,dog.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,283.118,11204,雪花,1236,285.37,4,这个名字有多适合这个图片？?,11,VCS_40.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,293.784,8403,不规则雪花,1351,296.148,3,这个名字有多适合这个图片？?,12,VCS_310.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,313.44,17284,水形,1490,315.948,3,这个名字有多适合这个图片？?,13,VCS_70.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,330.95,14977,飞镖,1471,333.435,3,这个名字有多适合这个图片？?,14,VCS_10.png,1,trial_lists/trial_list_1
87D4L,请为此图片命名,347.773,14315,标识牌,2841,351.623,3,这个名字有多适合这个图片？?,15,VCS_280.png,1,trial_lists/trial_list_1
