subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
DJxcs,请为此图片命名,65.173,35372,泡泡,25405,91.587,2,这个名字有多适合这个图片？?,1,VCS_70.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,101.215,9617,星星,1819,104.042,3,这个名字有多适合这个图片？?,2,VCS_340.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,118.379,14332,田地,3440,122.832,2,这个名字有多适合这个图片？?,3,square.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,134.543,11706,陶壺,2022,137.57,2,这个名字有多适合这个图片？?,4,VCS_190.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,168.688,31110,忍者的迴力鏢,2636,172.334,2,这个名字有多适合这个图片？?,5,VCS_10.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,198.104,25763,水井,5741,204.849,1,这个名字有多适合这个图片？?,6,VCS_220.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,245.072,40218,兔子的臉,2755,248.835,2,这个名字有多适合这个图片？?,7,VCS_130.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,272.047,23205,小丑的帽子,4508,277.562,2,这个名字有多适合这个图片？?,8,VCS_280.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,307.925,30358,三角形,2560,311.495,4,这个名字有多适合这个图片？?,9,triangle.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,328.535,17032,水漬,2972,332.511,2,这个名字有多适合这个图片？?,10,VCS_40.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,424.951,92435,裝沙拉的容器,1381,427.337,1,这个名字有多适合这个图片？?,11,VCS_250.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,444.552,17208,小狗,3186,448.749,4,这个名字有多适合这个图片？?,12,dog.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,482.802,34047,裝飾品,1931,485.743,1,这个名字有多适合这个图片？?,13,VCS_310.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,516.378,30628,小孩子的洋裝,2233,519.617,2,这个名字有多适合这个图片？?,14,VCS_100.png,1,trial_lists/trial_list_1
DJxcs,请为此图片命名,532.654,13031,水缸,1629,535.293,3,这个名字有多适合这个图片？?,15,VCS_160.png,1,trial_lists/trial_list_1
