subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
E6Usn,请为此图片命名,38.554,5890,X,5930,45.497,4,这个名字有多适合这个图片？,1,VCS_30.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,86.899,41391,正方形,1984,89.893,4,这个名字有多适合这个图片？,2,square.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,127.692,37789,官帽,2619,131.32,3,这个名字有多适合这个图片？,3,VCS_270.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,147.883,16555,星星,9788,158.682,3,这个名字有多适合这个图片？,4,VCS_360.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,189.072,30381,犬类,59772,249.852,2,这个名字有多适合这个图片？,5,dog.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,281.189,31329,兔耳朵,101843,384.041,3,这个名字有多适合这个图片？,6,VCS_90.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,738.285,354234,园角 x,2696,741.988,2,这个名字有多适合这个图片？,7,VCS_60.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,780.528,38529,3角官帽,1825,783.361,3,这个名字有多适合这个图片？,8,VCS_240.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,829.079,45710,侧突三角帽,2524,832.61,2,这个名字有多适合这个图片？,9,VCS_210.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,869.226,36606,张开的嘴巴,3824,874.057,2,这个名字有多适合这个图片？,10,VCS_150.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,924.613,50547,狐狸脸,2685,928.307,2,这个名字有多适合这个图片？,11,VCS_120.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,948.435,20118,平头胖脸,2169,951.612,2,这个名字有多适合这个图片？,12,VCS_180.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,1092.213,140593,两腿并拢的五角星,2344,1095.566,3,这个名字有多适合这个图片？,13,VCS_300.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,1115.859,20283,长腰三角,1682,1118.548,3,这个名字有多适合这个图片？,14,triangle.png,3,trial_lists/trial_list_3
E6Usn,请为此图片命名,1388.77,270213,三角+菱形角,1630,1391.408,2,这个名字有多适合这个图片？,15,VCS_330.png,3,trial_lists/trial_list_3
