subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
EmVa7,请为此图片命名,38.749,19989,晋建强,17944,57.747,3,这个名字有多适合这个图片？,1,VCS_80.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,164.636,106814,小饼干,8811,174.488,4,这个名字有多适合这个图片？,2,VCS_50.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,210.187,35622,飞翔大雁,2260,213.489,4,这个名字有多适合这个图片？,3,VCS_20.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,240.331,26774,轰炸机,3546,244.916,4,这个名字有多适合这个图片？,4,VCS_320.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,268.996,24021,小猫咪,2915,272.948,3,这个名字有多适合这个图片？,5,VCS_140.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,306.957,33929,城堡,3441,311.429,2,这个名字有多适合这个图片？,6,square.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,355.029,43535,大面孔,5260,361.333,3,这个名字有多适合这个图片？,7,VCS_170.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,383.775,22370,米仓,2767,387.579,4,这个名字有多适合这个图片？,8,VCS_200.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,423.495,35833,水滴,3029,427.563,3,这个名字有多适合这个图片？,9,VCS_110.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,443.683,16050,海星,3143,447.866,4,这个名字有多适合这个图片？,10,VCS_350.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,482.128,34200,看门门卫,2071,485.24,4,这个名字有多适合这个图片？,11,dog.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,511.571,26270,奖牌,2491,515.096,4,这个名字有多适合这个图片？,12,VCS_260.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,553.617,38482,放飞的风筝,2036,556.693,4,这个名字有多适合这个图片？,13,VCS_290.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,595.322,38556,支点,1737,598.097,4,这个名字有多适合这个图片？,14,triangle.png,2,trial_lists/trial_list_2
EmVa7,请为此图片命名,625.462,27301,又是一个奖牌,1756,628.259,4,这个名字有多适合这个图片？,15,VCS_230.png,2,trial_lists/trial_list_2
