subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
FEt2A,请为此图片命名,82.583,32580,等腰三角形,8526,92.129,4,这个名字有多适合这个图片？,1,triangle.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,98.636,6472,正方形,1146,100.792,4,这个名字有多适合这个图片？,2,square.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,270.638,169815,平底五角心,6829,278.474,2,这个名字有多适合这个图片？,3,VCS_260.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,632.254,353740,内凹倒梯形,2783,636.082,2,这个名字有多适合这个图片？,4,VCS_140.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,740.253,104118,右倾尖角十字,3619,744.882,3,这个名字有多适合这个图片？,5,VCS_20.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,777.659,32741,右倾尖角十字,1806,780.472,3,这个名字有多适合这个图片？,6,VCS_350.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,829.457,48945,鼻子创口贴,7702,838.165,3,这个名字有多适合这个图片？,7,VCS_80.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,888.124,49929,内凹倒三角,2561,891.694,2,这个名字有多适合这个图片？,8,VCS_110.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,948.233,56501,腰凹倒三角,2689,951.928,4,这个名字有多适合这个图片？,9,VCS_170.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,974.918,22958,窄平底五角星,2294,978.223,3,这个名字有多适合这个图片？,10,VCS_290.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,1018.412,40154,底顿角十字飞镖,2724,1022.142,3,这个名字有多适合这个图片？,11,VCS_320.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,1060.305,38136,平底钝角五角星,2023,1063.337,3,这个名字有多适合这个图片？,12,VCS_230.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,1091.98,28605,平底曲五角星,16172,1109.162,2,这个名字有多适合这个图片？,13,VCS_200.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,1450.205,341008,圆角X形,24115,1475.349,4,这个名字有多适合这个图片？,14,VCS_50.png,2,trial_lists/trial_list_2
FEt2A,请为此图片命名,1532.061,56658,正在脱毛狼狗,2978,1536.046,2,这个名字有多适合这个图片？,15,dog.png,2,trial_lists/trial_list_2
