subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
JYa3P,请为此图片命名,43.91,39612,稳星,8417,53.373,2,这个名字有多适合这个图片？,1,VCS_260.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,65.206,11776,小尖,7426,73.679,3,这个名字有多适合这个图片？,2,VCS_290.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,101.872,28156,罐,2447,105.362,3,这个名字有多适合这个图片？,3,VCS_140.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,131.628,26229,狼,3203,135.879,3,这个名字有多适合这个图片？,4,dog.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,206.512,42115,胖罐,9705,217.261,2,这个名字有多适合这个图片？,6,VCS_170.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,234.707,17403,软罐,14587,250.34,2,这个名字有多适合这个图片？,7,VCS_110.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,267.935,17555,空白,7156,276.126,2,这个名字有多适合这个图片？,8,VCS_80.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,339.66,63495,企鹅,2443,343.137,3,这个名字有多适合这个图片？,9,VCS_320.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,364.766,21598,仓,1276,367.082,3,这个名字有多适合这个图片？,10,VCS_200.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,385.887,18762,空白,1347,388.271,3,这个名字有多适合这个图片？,11,square.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,408.389,20077,陀螺,1446,410.875,3,这个名字有多适合这个图片？,12,VCS_50.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,422.63,11728,陀螺,1321,424.975,3,这个名字有多适合这个图片？,13,VCS_20.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,432.168,7168,三角,1082,434.287,3,这个名字有多适合这个图片？,14,triangle.png,2,trial_lists/trial_list_2
JYa3P,请为此图片命名,458.939,24614,皇冠,970,460.957,4,这个名字有多适合这个图片？,15,VCS_230.png,2,trial_lists/trial_list_2
