subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
MfUhC,请为此图片命名,112.546,31556,十字星,11711,125.272,4,这个名字有多适合这个图片？,1,VCS_20.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,148.463,23168,星型桩,2581,152.052,3,这个名字有多适合这个图片？,2,VCS_290.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,175.664,23594,类五边形,2553,179.225,3,这个名字有多适合这个图片？,3,VCS_230.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,284.704,105459,类幽灵,4019,289.731,2,这个名字有多适合这个图片？,4,VCS_50.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,302.974,13220,十字镖,3216,307.198,4,这个名字有多适合这个图片？,5,VCS_350.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,326.424,19202,缸状物,4099,331.531,2,这个名字有多适合这个图片？,6,VCS_170.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,375.375,43823,粮仓形,1882,378.269,2,这个名字有多适合这个图片？,7,VCS_200.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,407.592,29298,软胶体,1420,410.018,1,这个名字有多适合这个图片？,8,VCS_80.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,426.629,16589,狗,2016,429.653,4,这个名字有多适合这个图片？,9,dog.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,447.08,17404,长三角形,2052,450.14,4,这个名字有多适合这个图片？,10,triangle.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,469.558,19394,护臂盾,2369,472.94,2,这个名字有多适合这个图片？,11,VCS_140.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,485.533,12567,星形树,1884,488.426,2,这个名字有多适合这个图片？,12,VCS_260.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,497.509,9058,正方形,2807,501.324,4,这个名字有多适合这个图片？,13,square.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,517.834,16487,星形锥,1951,520.791,2,这个名字有多适合这个图片？,14,VCS_320.png,2,trial_lists/trial_list_2
MfUhC,请为此图片命名,573.537,52722,类支架,1352,575.897,1,这个名字有多适合这个图片？,15,VCS_110.png,2,trial_lists/trial_list_2
