subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
NKy1c,请为此图片命名,113.595,32294,金子塔,24593,139.238,4,这个名字有多适合这个图片？,1,triangle.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,187.805,48514,缸,9529,198.364,3,这个名字有多适合这个图片？,2,VCS_170.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,226.168,27766,房子,3754,230.949,3,这个名字有多适合这个图片？,3,VCS_230.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,253.068,22092,狗,1891,255.982,2,这个名字有多适合这个图片？,4,dog.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,291.375,35369,十字路口,1416,293.817,2,这个名字有多适合这个图片？,5,VCS_50.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,318.524,24668,正方形,1466,321.014,2,这个名字有多适合这个图片？,6,square.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,334.746,13690,星星,1471,337.239,2,这个名字有多适合这个图片？,7,VCS_350.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,376.536,39275,楼,2567,380.13,2,这个名字有多适合这个图片？,8,VCS_290.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,429.518,49339,上半身,1398,431.939,2,这个名字有多适合这个图片？,9,VCS_200.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,741.328,309343,兔耳朵,2200,744.629,2,这个名字有多适合这个图片？,10,VCS_80.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,763.679,18942,房子,1652,766.36,2,这个名字有多适合这个图片？,11,VCS_260.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,815.196,48793,罐子,1362,817.587,2,这个名字有多适合这个图片？,12,VCS_140.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,832.181,14553,飞机,1002,834.209,2,这个名字有多适合这个图片？,13,VCS_20.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,848.488,14223,兔子,1234,850.751,2,这个名字有多适合这个图片？,14,VCS_110.png,2,trial_lists/trial_list_2
NKy1c,请为此图片命名,876.755,25976,火箭,1407,879.192,2,这个名字有多适合这个图片？,15,VCS_320.png,2,trial_lists/trial_list_2
