subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
RYad0,请为此图片命名,231.985,43890,乖狗狗,35521,268.549,3,这个名字有多适合这个图片？?,1,dog.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,308.32,39727,异形花瓶,15181,324.529,2,这个名字有多适合这个图片？?,2,VCS_130.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,440.377,115803,简易飞机,3484,444.89,2,这个名字有多适合这个图片？?,3,VCS_10.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,499.888,54950,异形杯垫,3141,504.058,2,这个名字有多适合这个图片？?,4,VCS_40.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,571.569,67466,广告牌,4042,576.638,3,这个名字有多适合这个图片？?,5,VCS_280.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,648.768,72094,不规则,2114,651.909,2,这个名字有多适合这个图片？?,6,VCS_340.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,705.692,53744,隐形杀手,1819,708.539,3,这个名字有多适合这个图片？?,7,triangle.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,728.392,19810,小蛮腰,2436,731.858,2,这个名字有多适合这个图片？?,8,VCS_70.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,762.597,30691,中规中矩,3801,767.425,3,这个名字有多适合这个图片？?,9,VCS_250.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,822.734,55264,对称图形,2777,826.54,3,这个名字有多适合这个图片？?,10,VCS_100.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,859.861,33278,六角星,1783,862.672,2,这个名字有多适合这个图片？?,11,VCS_310.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,881.472,18761,储物罐,1790,884.291,3,这个名字有多适合这个图片？?,12,VCS_160.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,909.443,25110,无限可能,2429,912.904,3,这个名字有多适合这个图片？?,13,square.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,942.762,29811,标准量仓,2530,946.321,3,这个名字有多适合这个图片？?,14,VCS_220.png,1,trial_lists/trial_list_1
RYad0,请为此图片命名,1062.256,115888,储物空间,3870,1067.155,3,这个名字有多适合这个图片？?,15,VCS_190.png,1,trial_lists/trial_list_1
