subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Rb31P,请为此图片命名,40.092,11130,海绵宝宝,16373,57.478,3,这个名字有多适合这个图片？,1,VCS_80.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,77.036,19542,圣母,2653,80.697,2,这个名字有多适合这个图片？,2,VCS_290.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,88.27,7557,方尖碑,4455,93.732,3,这个名字有多适合这个图片？,3,VCS_320.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,110.12,16368,靠背,2762,113.888,4,这个名字有多适合这个图片？,4,VCS_140.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,126.01,12105,把手,2311,129.328,3,这个名字有多适合这个图片？,5,VCS_20.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,146.446,17100,宝宝椅,2561,150.019,3,这个名字有多适合这个图片？,6,VCS_110.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,160.907,10867,盾牌,1380,163.295,4,这个名字有多适合这个图片？,7,VCS_200.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,183.671,20359,小星星,1500,186.176,2,这个名字有多适合这个图片？,8,VCS_260.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,197.143,10949,尚美,1626,199.776,3,这个名字有多适合这个图片？,9,VCS_350.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,210.975,11180,光屁股狗,1917,213.899,4,这个名字有多适合这个图片？,10,dog.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,229.243,15326,正方形,7942,238.19,3,这个名字有多适合这个图片？,11,square.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,250.624,12414,长三角,2026,253.656,3,这个名字有多适合这个图片？,12,triangle.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,276.336,22663,小星星,1628,278.972,3,这个名字有多适合这个图片？,13,VCS_230.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,291.656,12666,屁股垫,1476,294.139,3,这个名字有多适合这个图片？,14,VCS_50.png,2,trial_lists/trial_list_2
Rb31P,请为此图片命名,305.026,10867,水缸倒置,2353,308.386,3,这个名字有多适合这个图片？,15,VCS_170.png,2,trial_lists/trial_list_2
