subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
WUa5C,请为此图片命名,60.018,42833,不规则的五边形,6715,67.792,3,这个名字有多适合这个图片？,1,VCS_210.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,80.961,13114,三角形,1850,83.858,2,这个名字有多适合这个图片？,2,triangle.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,96.823,12903,狗,3076,100.943,4,这个名字有多适合这个图片？,3,dog.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,126.146,25167,五角星,1763,128.947,3,这个名字有多适合这个图片？,4,VCS_300.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,141.534,12542,浪花,1175,143.754,3,这个名字有多适合这个图片？,5,VCS_360.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,240.917,97112,抹布,1316,243.279,3,这个名字有多适合这个图片？,6,VCS_240.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,260.906,17574,多边鬼,1671,263.622,4,这个名字有多适合这个图片？,7,VCS_30.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,285.781,22108,无形鬼,1389,288.204,3,这个名字有多适合这个图片？,8,VCS_330.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,331.422,43171,档案袋,1437,333.895,2,这个名字有多适合这个图片？,9,VCS_60.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,343.053,9102,坛子,1467,345.558,3,这个名字有多适合这个图片？,10,VCS_180.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,357.535,10380,口袋,1132,359.708,3,这个名字有多适合这个图片？,11,VCS_270.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,372.33,12554,小孩衣,1343,374.715,2,这个名字有多适合这个图片？,12,VCS_120.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,384.09,9320,操场,1714,386.84,3,这个名字有多适合这个图片？,13,square.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,396.652,9761,玩具,1399,399.089,2,这个名字有多适合这个图片？,14,VCS_90.png,3,trial_lists/trial_list_3
WUa5C,请为此图片命名,411.299,12159,茶杯,1144,413.478,4,这个名字有多适合这个图片？,15,VCS_150.png,3,trial_lists/trial_list_3
