subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ZmQ1A,请为此图片命名,41.82,22762,尖塔,9137,51.985,3,这个名字有多适合这个图片？,1,triangle.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,74.964,22948,框框,4673,80.659,3,这个名字有多适合这个图片？,2,square.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,94.529,13837,盾牌,4178,99.724,1,这个名字有多适合这个图片？,3,VCS_330.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,112.172,12419,中年妇女,5589,118.779,2,这个名字有多适合这个图片？,4,VCS_150.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,127.71,8905,镖,1995,130.722,4,这个名字有多适合这个图片？,5,VCS_360.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,151.154,20401,泥巴,1294,153.47,2,这个名字有多适合这个图片？,6,VCS_60.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,171.254,17757,狗子,1525,173.798,3,这个名字有多适合这个图片？,7,dog.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,181.571,7751,围兜,2473,185.068,3,这个名字有多适合这个图片？,8,VCS_90.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,197.796,12705,太阳,1095,199.909,1,这个名字有多适合这个图片？,9,VCS_300.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,220.911,20978,大象屁股,1175,223.103,1,这个名字有多适合这个图片？,10,VCS_180.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,241.234,18100,盾牌,1080,243.333,1,这个名字有多适合这个图片？,11,VCS_210.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,255.931,12570,勋章,922,257.872,2,这个名字有多适合这个图片？,12,VCS_240.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,265.799,7905,围裙,2229,269.049,2,这个名字有多适合这个图片？,13,VCS_120.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,301.447,32374,叉,1373,303.834,2,这个名字有多适合这个图片？,14,VCS_30.png,3,trial_lists/trial_list_3
ZmQ1A,请为此图片命名,316.957,13095,星星,1268,319.244,1,这个名字有多适合这个图片？,15,VCS_270.png,3,trial_lists/trial_list_3
