subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
c4DMT,请为此图片命名,58.474,28950,小墩,11108,70.614,2,这个名字有多适合这个图片？,1,VCS_170.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,82.645,11998,四角星,1449,85.128,3,这个名字有多适合这个图片？,2,VCS_20.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,99.449,14268,萌狼,2139,102.624,3,这个名字有多适合这个图片？,3,dog.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,135.062,32384,猫猫,1869,137.966,2,这个名字有多适合这个图片？,4,VCS_110.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,153.017,14997,错落五角,940,155.003,3,这个名字有多适合这个图片？,5,VCS_230.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,170.302,15240,平底五角,1966,173.305,3,这个名字有多适合这个图片？,6,VCS_260.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,193.225,19867,变形枫叶,2144,196.397,3,这个名字有多适合这个图片？,7,VCS_290.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,224.254,27837,钝四角,2000,227.278,3,这个名字有多适合这个图片？,8,VCS_320.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,241.713,14371,小饼干,1663,244.408,3,这个名字有多适合这个图片？,9,VCS_50.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,270.366,25897,左视花瓶,1255,272.662,3,这个名字有多适合这个图片？,10,VCS_140.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,281.727,9007,小叶子,988,283.758,3,这个名字有多适合这个图片？,11,VCS_350.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,292.762,8957,大方,1615,295.412,2,这个名字有多适合这个图片？,12,square.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,306.656,11181,胖兔头,1944,309.631,2,这个名字有多适合这个图片？,13,VCS_80.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,323.677,14000,圆盾,1457,326.159,2,这个名字有多适合这个图片？,14,VCS_200.png,2,trial_lists/trial_list_2
c4DMT,请为此图片命名,341.792,15600,尖三角,1445,344.267,3,这个名字有多适合这个图片？,15,triangle.png,2,trial_lists/trial_list_2
