subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
fCqZa,请为此图片命名,5.931,2553,啊啊啊,2273,9.217,3,这个名字有多适合这个图片？,1,VCS_50.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,15.371,6142,三角,2300,18.678,1,这个名字有多适合这个图片？,2,triangle.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,24.235,5547,四角星,2348,27.591,3,这个名字有多适合这个图片？,3,VCS_320.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,33.218,5617,盾,1814,36.038,1,这个名字有多适合这个图片？,4,VCS_200.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,40.706,4661,雨衣,2053,43.766,2,这个名字有多适合这个图片？,5,VCS_140.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,56.148,12372,海星,1769,58.929,2,这个名字有多适合这个图片？,6,VCS_20.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,68.236,9300,兔头,1394,70.639,2,这个名字有多适合这个图片？,7,VCS_110.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,75.107,4458,雨衣,1406,77.519,2,这个名字有多适合这个图片？,8,VCS_290.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,89.107,11579,袋子,1484,91.598,2,这个名字有多适合这个图片？,9,VCS_230.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,97.643,6036,方框,1550,100.197,2,这个名字有多适合这个图片？,10,square.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,105.188,4984,哈哈,2114,108.311,2,这个名字有多适合这个图片？,11,VCS_170.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,115.155,6835,兔头,1261,117.422,2,这个名字有多适合这个图片？,12,VCS_80.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,120.275,2845,雨衣,1010,122.295,2,这个名字有多适合这个图片？,13,VCS_260.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,130.227,7924,狗,1345,132.582,2,这个名字有多适合这个图片？,14,dog.png,2,trial_lists/trial_list_2
fCqZa,请为此图片命名,136.954,4365,海星,1237,139.199,2,这个名字有多适合这个图片？,15,VCS_350.png,2,trial_lists/trial_list_2
