subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
hFtzd,请为此图片命名,85.802,26054,多角形,3322,90.137,4,这个名字有多适合这个图片？,1,VCS_330.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,100.992,10837,多边形,5816,107.815,3,这个名字有多适合这个图片？,2,VCS_210.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,124.707,16873,皇冠,7843,133.557,2,这个名字有多适合这个图片？,3,VCS_270.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,151.773,18197,胖皇冠,1624,154.404,2,这个名字有多适合这个图片？,4,VCS_240.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,162.706,8283,星星,3056,166.768,3,这个名字有多适合这个图片？,5,VCS_360.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,221.53,54743,背心,2129,224.668,3,这个名字有多适合这个图片？,6,VCS_90.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,293.631,68944,十字飞镖,1768,296.406,2,这个名字有多适合这个图片？,7,VCS_60.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,306.096,9671,背心,3225,310.33,2,这个名字有多适合这个图片？,8,VCS_120.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,341.96,31611,不规则的石头,2554,345.521,1,这个名字有多适合这个图片？,9,VCS_180.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,352.621,7081,三角形,2348,355.977,3,这个名字有多适合这个图片？,10,triangle.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,374.768,18773,狗,1110,376.887,4,这个名字有多适合这个图片？,11,dog.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,384.074,7168,正方形,1302,386.384,4,这个名字有多适合这个图片？,12,square.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,396.169,9765,皇冠,2949,400.126,3,这个名字有多适合这个图片？,13,VCS_300.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,409.141,8996,十字飞镖,3184,413.332,2,这个名字有多适合这个图片？,14,VCS_30.png,3,trial_lists/trial_list_3
hFtzd,请为此图片命名,418.35,5000,背心,2599,421.956,2,这个名字有多适合这个图片？,15,VCS_150.png,3,trial_lists/trial_list_3
