subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
kdxMD,请为此图片命名,24.787,5501,vi,5732,31.534,2,这个名字有多适合这个图片？,1,VCS_60.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,55.768,24208,丑狗,11946,68.722,4,这个名字有多适合这个图片？,2,dog.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,78.203,9458,五角形,1941,81.153,4,这个名字有多适合这个图片？,3,VCS_210.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,106.667,25492,一滩水,2316,109.992,4,这个名字有多适合这个图片？,4,VCS_150.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,137.691,27674,尖塔,1656,140.358,4,这个名字有多适合这个图片？,5,triangle.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,398.925,81724,葫芦,1230,401.173,4,这个名字有多适合这个图片？,9,VCS_90.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,414.344,13145,五角星,1303,416.656,4,这个名字有多适合这个图片？,10,VCS_240.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,422.13,5449,海星,1211,424.35,4,这个名字有多适合这个图片？,11,VCS_360.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,435.916,11542,尿布,1224,438.15,4,这个名字有多适合这个图片？,12,VCS_120.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,469.817,31643,操场,1468,472.294,4,这个名字有多适合这个图片？,13,square.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,489.768,17448,围嘴,1216,491.995,4,这个名字有多适合这个图片？,14,VCS_30.png,3,trial_lists/trial_list_3
kdxMD,请为此图片命名,498.246,6224,星星,1259,500.515,4,这个名字有多适合这个图片？,15,VCS_270.png,3,trial_lists/trial_list_3
