subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
l0gTi,请为此图片命名,18.285,7978,牙,8391,27.716,3,这个名字有多适合这个图片？?,1,VCS_160.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,36.164,8406,身材,3216,40.411,3,这个名字有多适合这个图片？?,2,VCS_130.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,51.06,10621,五边形,1172,53.273,4,这个名字有多适合这个图片？?,3,VCS_220.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,71.151,17842,冰箱贴,1724,73.903,2,这个名字有多适合这个图片？?,4,VCS_40.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,84.348,10409,白纸,1767,87.14,3,这个名字有多适合这个图片？?,5,square.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,95.848,8673,飞镖,1138,98.019,3,这个名字有多适合这个图片？?,6,VCS_340.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,117.717,19663,折纸,1338,120.085,2,这个名字有多适合这个图片？?,7,VCS_250.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,141.753,11365,交通标志,1027,143.8,3,这个名字有多适合这个图片？?,9,triangle.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,159.534,15699,胶泥,1425,161.981,2,这个名字有多适合这个图片？?,10,VCS_70.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,126.052,5937,盾牌,3283,130.359,3,这个名字有多适合这个图片？?,8,VCS_190.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,204.87,42864,人,2574,208.471,2,这个名字有多适合这个图片？?,11,VCS_280.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,213.598,5098,飞镖,934,215.56,2,这个名字有多适合这个图片？?,12,VCS_10.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,225.504,9917,狗,1004,227.531,4,这个名字有多适合这个图片？?,13,dog.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,261.484,33925,张开双臂的人,1554,264.069,3,这个名字有多适合这个图片？?,14,VCS_310.png,1,trial_lists/trial_list_1
l0gTi,请为此图片命名,282.256,18149,绳子,984,284.271,3,这个名字有多适合这个图片？?,15,VCS_100.png,1,trial_lists/trial_list_1
