subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
lyN2d,请为此图片命名,43.22,30483,连衣裙,5982,50.222,2,这个名字有多适合这个图片？,1,VCS_90.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,103.142,52892,光屁股狗,1689,105.839,2,这个名字有多适合这个图片？,2,dog.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,135.676,29811,跑车引擎盖,1540,138.222,2,这个名字有多适合这个图片？,3,VCS_180.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,149.195,10945,平底五角星,1701,151.902,3,这个名字有多适合这个图片？,4,VCS_270.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,185.347,33417,跪坐举手的无头人,1288,187.641,2,这个名字有多适合这个图片？,5,VCS_60.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,228.246,40579,较钝的平底五角星,1804,231.058,2,这个名字有多适合这个图片？,6,VCS_240.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,245.16,14083,宽腰五角星,1551,247.718,2,这个名字有多适合这个图片？,7,VCS_210.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,302.894,55148,饮水机水桶轮廓,1653,305.553,2,这个名字有多适合这个图片？,8,VCS_150.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,325.89,20310,钝底十字星,1660,328.558,2,这个名字有多适合这个图片？,9,VCS_330.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,394.17,65585,钝多边形底的圆角x,1681,396.857,2,这个名字有多适合这个图片？,10,VCS_120.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,429.537,32662,略顺时针偏转的十字星,2359,432.901,2,这个名字有多适合这个图片？,11,VCS_360.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,497.516,64587,底角70度左右的等腰三角形,1651,500.174,2,这个名字有多适合这个图片？,12,triangle.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,545.386,45184,稍逆时针旋转了的圆角x,1551,547.942,2,这个名字有多适合这个图片？,13,VCS_30.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,582.935,34966,与屏接近同宽的正方形,1552,585.492,2,这个名字有多适合这个图片？,14,square.png,3,trial_lists/trial_list_3
lyN2d,请为此图片命名,600.588,15069,钝底的尖锐五角星,1366,602.961,2,这个名字有多适合这个图片？,15,VCS_300.png,3,trial_lists/trial_list_3
