subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
nPKiv,请为此图片命名,45.151,6902,星星,8466,54.655,3,这个名字有多适合这个图片？?,1,VCS_340.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,67.586,12893,x,25802,94.41,2,这个名字有多适合这个图片？?,2,VCS_10.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,114.217,19776,水翁,3479,118.72,2,这个名字有多适合这个图片？?,3,VCS_160.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,138.431,19674,白板,4141,143.589,1,这个名字有多适合这个图片？?,4,square.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,164.898,21278,僧帽,8936,174.851,2,这个名字有多适合这个图片？?,5,VCS_250.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,181.288,6404,x,2302,184.608,2,这个名字有多适合这个图片？?,6,VCS_40.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,225.084,40448,水罐,1776,227.881,2,这个名字有多适合这个图片？?,7,VCS_130.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,237.187,9268,狗,7169,245.383,4,这个名字有多适合这个图片？?,8,dog.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,295.385,49966,肚兜,2164,298.573,2,这个名字有多适合这个图片？?,9,VCS_190.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,328.11,29503,戟头,2663,331.796,2,这个名字有多适合这个图片？?,10,VCS_310.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,352.969,21144,围兜兜,909,354.901,2,这个名字有多适合这个图片？?,11,VCS_100.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,364.753,9802,僧帽,1831,367.607,3,这个名字有多适合这个图片？?,12,VCS_280.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,378.229,10594,三角形,3086,382.342,4,这个名字有多适合这个图片？?,13,triangle.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,393.194,10824,围兜兜,1027,395.244,2,这个名字有多适合这个图片？?,14,VCS_70.png,1,trial_lists/trial_list_1
nPKiv,请为此图片命名,407.013,11732,五边形,2977,411.022,3,这个名字有多适合这个图片？?,15,VCS_220.png,1,trial_lists/trial_list_1
