subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
qi9Lm,请为此图片命名,23.496,12721,兔子,12763,37.277,3,这个名字有多适合这个图片？,1,VCS_80.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,125.567,88264,四不像,5173,131.753,3,这个名字有多适合这个图片？,2,VCS_50.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,140.045,8259,维尼,1710,142.764,4,这个名字有多适合这个图片？,3,VCS_140.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,154.489,11702,火炬,2339,157.836,4,这个名字有多适合这个图片？,4,VCS_290.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,169.327,11466,奇怪,1459,171.796,3,这个名字有多适合这个图片？,5,VCS_170.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,196.523,24702,守望,1343,198.877,4,这个名字有多适合这个图片？,6,dog.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,225.882,26981,冰凌,1674,228.565,4,这个名字有多适合这个图片？,7,VCS_320.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,242.217,13631,角,3437,246.659,4,这个名字有多适合这个图片？,8,triangle.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,265.733,19050,墩,1504,268.244,4,这个名字有多适合这个图片？,9,VCS_260.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,285.047,16781,飘,6267,292.325,4,这个名字有多适合这个图片？,10,VCS_350.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,304.149,11800,美丽,2019,307.176,4,这个名字有多适合这个图片？,11,VCS_20.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,322.805,15605,留白,1536,325.346,4,这个名字有多适合这个图片？,12,square.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,341.307,15938,俏皮,2600,344.917,4,这个名字有多适合这个图片？,13,VCS_110.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,408.89,63946,好吧,1041,410.95,4,这个名字有多适合这个图片？,14,VCS_230.png,2,trial_lists/trial_list_2
qi9Lm,请为此图片命名,419.838,8854,搞不懂,1310,422.158,4,这个名字有多适合这个图片？,15,VCS_200.png,2,trial_lists/trial_list_2
