"subjCode","naming_question","naming_expTimer","naming_rt","nameing_response","goodness_of_fit_rt","goodness_of_fit_expTimer","goodness_of_fit","confidence_question","trial_number","image","trial_list_num","batchFile"
"87D4L","请为此图片命名",46.775,25167,"胸牌",36725,84.519,3,"这个名字有多适合这个图片？?",1,"VCS_190.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",98.085,13554,"规矩",5254,104.36,4,"这个名字有多适合这个图片？?",2,"square.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",139.098,34729,"水杯",4271,144.386,2,"这个名字有多适合这个图片？?",3,"VCS_160.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",161.743,17345,"不规则菱形",2283,165.041,4,"这个名字有多适合这个图片？?",4,"VCS_340.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",179.361,14312,"坐垫",1450,181.82,4,"这个名字有多适合这个图片？?",5,"VCS_100.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",221.121,20468,"背对而坐",1088,223.222,3,"这个名字有多适合这个图片？?",7,"VCS_130.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",198.091,16262,"五角型",1538,200.644,4,"这个名字有多适合这个图片？?",6,"VCS_220.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",237.956,14723,"不规则五星",1489,240.464,3,"这个名字有多适合这个图片？?",8,"VCS_250.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",249.791,9318,"三角形",2352,253.153,4,"这个名字有多适合这个图片？?",9,"triangle.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",268.678,15516,"狗",2203,271.9,4,"这个名字有多适合这个图片？?",10,"dog.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",283.118,11204,"雪花",1236,285.37,4,"这个名字有多适合这个图片？?",11,"VCS_40.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",293.784,8403,"不规则雪花",1351,296.148,3,"这个名字有多适合这个图片？?",12,"VCS_310.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",313.44,17284,"水形",1490,315.948,3,"这个名字有多适合这个图片？?",13,"VCS_70.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",330.95,14977,"飞镖",1471,333.435,3,"这个名字有多适合这个图片？?",14,"VCS_10.png",1,"trial_lists/trial_list_1"
"87D4L","请为此图片命名",347.773,14315,"标识牌",2841,351.623,3,"这个名字有多适合这个图片？?",15,"VCS_280.png",1,"trial_lists/trial_list_1"
"97pEA","请为此图片命名",84.697,19318,"杨桃",8568,94.291,4,"这个名字有多适合这个图片？",1,"VCS_290.png",2,"trial_lists/trial_list_2"
"97pEA","请为此图片命名",129.811,35494,"飞镖",1869,132.699,4,"这个名字有多适合这个图片？",2,"VCS_20.png",2,"trial_lists/trial_list_2"
"97pEA","请为此图片命名",145.889,13167,"小熊饼干",1060,147.972,4,"这个名字有多适合这个图片？",3,"VCS_50.png",2,"trial_lists/trial_list_2"
"97pEA","请为此图片命名",157.688,9694,"椰子",1160,159.87,4,"这个名字有多适合这个图片？",4,"VCS_200.png",2,"trial_lists/trial_list_2"
"97pEA","请为此图片命名",157.688,9694,"椰子",1160,159.87,4,"这个名字有多适合这个图片？",4,"VCS_200.png",2,"trial_lists/trial_list_2"
"97pEA","请为此图片命名",521.488,361597,"弹弓",1855,524.356,2,"这个名字有多适合这个图片？",5,"VCS_80.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",70.3,16039,"五边形",17773,89.087,4,"这个名字有多适合这个图片？",1,"VCS_230.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",128.507,39409,"X型",1660,131.175,4,"这个名字有多适合这个图片？",2,"VCS_80.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",171.781,40598,"三角柱",1001,173.793,4,"这个名字有多适合这个图片？",3,"VCS_290.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",223.627,49822,"背心",951,225.587,4,"这个名字有多适合这个图片？",4,"VCS_170.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",236.717,11118,"四角星",1067,238.795,4,"这个名字有多适合这个图片？",5,"VCS_320.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",254.314,15507,"海星",720,256.045,4,"这个名字有多适合这个图片？",6,"VCS_20.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",345.273,89218,"四爪章鱼",779,347.063,4,"这个名字有多适合这个图片？",7,"VCS_50.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",354.569,7497,"三角形",696,356.275,4,"这个名字有多适合这个图片？",8,"triangle.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",364.546,8260,"狗",1439,366.998,4,"这个名字有多适合这个图片？",9,"dog.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",384.581,17562,"三星柱",913,386.503,4,"这个名字有多适合这个图片？",10,"VCS_260.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",410.593,24076,"徽章",1131,412.736,4,"这个名字有多适合这个图片？",11,"VCS_200.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",423.855,11107,"正方形",2202,427.067,4,"这个名字有多适合这个图片？",12,"square.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",441.807,14732,"北约星",953,443.769,4,"这个名字有多适合这个图片？",13,"VCS_350.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",511.27,67491,"大背心",1072,513.352,4,"这个名字有多适合这个图片？",14,"VCS_110.png",2,"trial_lists/trial_list_2"
"9it5q","请为此图片命名",538.497,25139,"花瓶",1061,540.569,4,"这个名字有多适合这个图片？",15,"VCS_140.png",2,"trial_lists/trial_list_2"
"9YSgI","请为此图片命名",80.634,53126,"无头葫芦",5081,86.724,2,"这个名字有多适合这个图片？?",1,"VCS_160.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",116.477,29745,"缺半角四角形",2460,119.943,2,"这个名字有多适合这个图片？?",2,"VCS_310.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",142.96,22991,"四角拼图块",2328,146.294,3,"这个名字有多适合这个图片？?",3,"VCS_70.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",157.639,11318,"正方形",1985,160.63,3,"这个名字有多适合这个图片？?",4,"square.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",175.008,14351,"三角房顶",1699,177.712,2,"这个名字有多适合这个图片？?",5,"VCS_280.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",182.477,4737,"狗",1728,185.212,4,"这个名字有多适合这个图片？?",6,"dog.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",193.205,7966,"四角拼图块",2252,196.463,4,"这个名字有多适合这个图片？?",7,"VCS_40.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",200.798,4308,"围裙",1312,203.115,3,"这个名字有多适合这个图片？?",8,"VCS_100.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",208.908,5765,"三角形",2216,212.131,3,"这个名字有多适合这个图片？?",9,"triangle.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",218.341,6181,"四角形",1335,220.682,4,"这个名字有多适合这个图片？?",10,"VCS_340.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",227.71,7001,"四角形",1286,230.001,3,"这个名字有多适合这个图片？?",11,"VCS_10.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",258.135,28108,"破布",1610,260.752,1,"这个名字有多适合这个图片？?",12,"VCS_190.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",268.094,7314,"三角房顶",1237,270.337,2,"这个名字有多适合这个图片？?",13,"VCS_250.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",276.375,6013,"房顶",1572,278.951,1,"这个名字有多适合这个图片？?",14,"VCS_220.png",1,"trial_lists/trial_list_1"
"9YSgI","请为此图片命名",282.941,3963,"围裙",1422,285.368,2,"这个名字有多适合这个图片？?",15,"VCS_130.png",1,"trial_lists/trial_list_1"
"A7CGZ","请为此图片命名",100.582,11523,"山",3899,105.541,4,"这个名字有多适合这个图片？",1,"VCS_210.png",3,"trial_lists/trial_list_3"
"AjD7f","请为此图片命名",54.676,22327,"五边型",2778,58.496,4,"这个名字有多适合这个图片？?",1,"VCS_220.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",73.719,15197,"三角形",3281,78.019,4,"这个名字有多适合这个图片？?",2,"triangle.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",99.249,21213,"身体",4791,105.057,2,"这个名字有多适合这个图片？?",3,"VCS_190.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",150.262,45191,"飞机",1193,152.471,3,"这个名字有多适合这个图片？?",4,"VCS_40.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",163.927,11434,"衣服",761,165.702,3,"这个名字有多适合这个图片？?",5,"VCS_100.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",176.326,10609,"正方形",1139,178.485,4,"这个名字有多适合这个图片？?",6,"square.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",234.166,55666,"半星星",1346,236.529,2,"这个名字有多适合这个图片？?",7,"VCS_280.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",275.771,39219,"唐僧帽",1446,278.233,2,"这个名字有多适合这个图片？?",8,"VCS_310.png",1,"trial_lists/trial_list_1"
"AjD7f","请为此图片命名",285.875,7626,"五边形",1662,288.553,4,"这个名字有多适合这个图片？?",9,"VCS_250.png",1,"trial_lists/trial_list_1"
