image_pair,distance,word_cosine_sim,response_cosine_sim
10_100,90,0.01345575620581806,0.0
10_110,100,0.006681903932318409,0.009813358399735746
10_120,110,0.003606701996970387,0.0
10_130,120,0.00831890330807703,0.0
10_140,130,0.007757417334068084,0.0
10_150,140,0.003153272161287632,0.0
10_160,150,0.006418173242235071,0.0
10_170,160,0.0037970424962817818,0.0
10_180,170,0.007562639370979118,0.0
10_190,180,0.013080870294019433,0.0
10_20,10,0.8461030303903107,0.5936468401086636
10_200,170,0.08144834935613401,0.08509140416960995
10_210,160,0.16586883654722698,0.07041787902195303
10_220,150,0.09812443014450578,0.0
10_230,140,0.5019586403928898,0.37905238362839516
10_240,130,0.8217054241172074,0.5510490974303643
10_250,120,0.8997761759615848,0.6749655638598863
10_260,110,0.8599675315138422,0.686836568438571
10_270,100,0.8460804531402666,0.5088401486645688
10_280,90,0.8754836478128379,0.7164977208318386
10_290,80,0.8919556649135726,0.7061878636037997
10_30,20,0.6539658492013987,0.5128225940683707
10_300,70,0.8245818187768797,0.6300315023626969
10_310,60,0.8911660465726698,0.7309738846478072
10_320,50,0.9111253981319237,0.8165875402752959
10_330,40,0.947543805262409,0.8109364001682532
10_340,30,0.952157872738281,0.8509430186440341
10_350,20,0.9573307111828107,0.9017390241423133
10_360,10,0.8999028661236033,0.82003230305667
10_40,30,0.5768575097585616,0.30313772862757044
10_50,40,0.42039691246944333,0.16102266006701546
10_60,50,0.18973395782858699,0.08291849892341732
10_70,60,0.15444528511541775,0.12087344460380704
10_80,70,0.02547133540542467,0.010353942082032278
10_90,80,0.0,0.0
10_dog,NA,0.0,0.0
10_square,NA,0.041543771321627794,0.0
10_triangle,NA,0.0,0.0
100_110,10,0.5803095637652798,0.18791150700070725
100_120,20,0.5703675233854224,0.37832222460186715
100_130,30,0.45289764745444133,0.21516574145596762
100_140,40,0.16088732719694976,0.03696106354772865
100_150,50,0.11444694015889996,0.014362124740535654
100_160,60,0.1830285395509235,0.08278327231656524
100_170,70,0.0689061827088388,0.020619652471058063
100_180,80,0.12743873196769995,0.056373452100212176
100_190,90,0.1356473532610057,0.10206207261596575
20_100,80,0.04012502821292038,0.016239245061540775
100_200,100,0.02533834393883236,0.0
100_210,110,0.006056491935424482,0.0
100_220,120,0.02119876669162978,0.0
100_230,130,0.005123289667095407,0.0
100_240,140,0.015216081007222514,0.0
100_250,150,0.01908096415304014,0.0
100_260,160,0.024037142043142223,0.0
100_270,170,0.016616992510108335,0.0
100_280,180,0.01547502326521045,0.0
100_290,170,0.02837267954465754,0.0
30_100,70,0.10246866081465884,0.036369648372665396
100_300,160,0.005425655645323508,0.0
100_310,150,0.009979811302513849,0.0
100_320,140,0.005331987472574133,0.0
100_330,130,0.007736958380190761,0.0
100_340,120,0.0,0.0
100_350,110,0.0,0.0
100_360,100,0.02019892908116942,0.0
40_100,60,0.08955024394639055,0.04003203845127179
50_100,50,0.1350279902077154,0.051389153237064875
60_100,40,0.13921151159742612,0.14554543410686488
70_100,30,0.26693043198007743,0.28931878117892235
80_100,20,0.4402254531628119,0.2973943446443041
90_100,10,0.5645480680597291,0.42222037160006015
100_dog,NA,0.0011632642155324773,0.0
100_square,NA,0.10659089562768426,0.1424995594755363
100_triangle,NA,0.0,0.0
110_120,10,0.6964794878058298,0.26705526019248915
110_130,20,0.5301247570756492,0.1552593359305552
110_140,30,0.30709241337198667,0.06667592785538491
110_150,40,0.2679243607945274,0.01295428081788574
110_160,50,0.31604555467009515,0.014933692277237473
110_170,60,0.1613118265234886,0.01859841585440341
110_180,70,0.20445582917518154,0.0
110_190,80,0.14314044931857564,0.018411492357966467
20_110,90,0.06475761258027332,0.05858958743170405
110_200,90,0.012582598659903929,0.0
110_210,100,0.0,0.0
110_220,110,0.0,0.0
110_230,120,0.0,0.0
110_240,130,0.0,0.0
110_250,140,0.0035532331142274745,0.0
110_260,150,0.0,0.0
110_270,160,0.0,0.0
110_280,170,0.0,0.0
110_290,180,0.003522349768381735,0.0
30_110,80,0.13877516341110369,0.016402261043504094
110_300,170,0.012124305135149322,0.0
110_310,160,0.0,0.0
110_320,150,0.007943327936781586,0.021050299265022422
110_330,140,0.011526133165766027,0.0
110_340,130,0.006128945761456463,0.01042345498062708
110_350,120,0.005953857786779655,0.014487809562240198
110_360,110,0.03385277221672127,0.010811600584038355
40_110,70,0.0733741080561577,0.05416186085055892
50_110,60,0.17960530202677488,0.04635174349568223
60_110,50,0.20047732764788223,0.023868795805172167
70_110,40,0.21539894512129942,0.12178057511186369
80_110,30,0.4918693768379648,0.25035951125068295
90_110,20,0.6200854529917131,0.3222427308743723
110_dog,NA,0.07971674777496822,0.0
110_square,NA,0.0016541018620343487,0.002824858757062147
110_triangle,NA,0.0,0.0
