"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","qualtricsId","assignmentId","hitId","iso_identifier","list_id","rotation_start","view_history","rt","response","response_unadjusted","stimulus","trial_kind","cur_block","cur_trial","total_trial_num","phase","rotation_adjustment","correct_response","start_value","slider_start","target_stimulus","slider_stimulus","responses","difference_unadjusted","diff_response","required_movement_unadjusted","abs_diff_response","exclude","image","number_responses","avg_words_per_response","percent_unique_words","percent_unique_lemmas","simpson_diversity","modal_agreement","modal_names","modal_response_agreement","modal_response","slider_stim_image","slider_stim_number_responses","slider_stim_avg_words_per_response","slider_stim_percent_unique_words","slider_stim_percent_unique_lemmas","slider_stim_simpson_diversity","slider_stim_modal_agreement","slider_stim_modal_names","slider_stim_modal_response_agreement","slider_stim_modal_response"
NA,"stimulus-image-roundslider-response-dynamic",2,39963,"0.0-2.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,10260.6599999999,40,352,"images/VCS_40.png","undelayed",1,1,1,"response",48,40,138,90,"VCS_40.png","VCS_138.png",NA,0,0,-214,0,"n","VCS_40.png",38,1.60526315789474,0.639344262295082,0.622950819672131,0.0349726775956284,0.236842105263158,"x",0.0789473684210526,"cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",3,50993,"0.0-3.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,11013.934999999,337,253,"images/VCS_340.png","undelayed",1,2,2,"response",84,340,174,90,"VCS_340.png","VCS_174.png",NA,-3,-3,-79,3,"n","VCS_340.png",38,1.63157894736842,0.483870967741935,0.451612903225806,0.193019566367002,0.710526315789474,"star",0.342105263157895,"star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",4,61729,"0.0-4.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,10721.5950000027,186,234,"images/VCS_190.png","undelayed",1,3,3,"response",312,190,42,90,"VCS_190.png","VCS_42.png",NA,-4,-4,-192,4,"n","VCS_190.png",38,1.44736842105263,0.690909090909091,0.690909090909091,0.0168350168350168,0.105263157894737,"shield,badge",0.105263157894737,"shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",5,71281,"0.0-5.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,9536.82000000117,66,354,"images/VCS_70.png","undelayed",1,4,4,"response",72,70,162,90,"VCS_70.png","VCS_162.png",NA,-4,-4,-192,4,"n","VCS_70.png",38,1.36842105263158,0.730769230769231,0.730769230769231,0.0211161387631976,0.157894736842105,"x",0.105263157894737,"blob",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",6,87319,"0.0-6.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,16027.2000000004,265,229,"images/VCS_280.png","undelayed",1,5,5,"response",36,280,126,90,"VCS_280.png","VCS_126.png",NA,-15,-15,-103,15,"n","VCS_280.png",38,1.55263157894737,0.423728813559322,0.406779661016949,0.147282291057861,0.578947368421053,"star",0.236842105263158,"star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",7,101296,"0.0-7.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,13966.9099999992,301,133,"images/VCS_310.png","undelayed",1,6,6,"response",168,310,258,90,"VCS_310.png","VCS_258.png",NA,-9,-9,125,9,"n","VCS_310.png",38,1.65789473684211,0.555555555555556,0.53968253968254,0.123911930363543,0.578947368421053,"star",0.236842105263158,"star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",13,145879,"0.0-13.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,9970.79000000303,327,33,"images/blank_canvas.png","delayed",1,1,1,"response",294,340,24,90,"VCS_340.png","VCS_24.png",NA,-13,-13,-9,13,"n","VCS_340.png",38,1.63157894736842,0.483870967741935,0.451612903225806,0.193019566367002,0.710526315789474,"star",0.342105263157895,"star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",18,160655,"0.0-18.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,9097.7950000015,301,109,"images/blank_canvas.png","delayed",1,2,2,"response",192,310,282,90,"VCS_310.png","VCS_282.png",NA,-9,-9,173,9,"n","VCS_310.png",38,1.65789473684211,0.555555555555556,0.53968253968254,0.123911930363543,0.578947368421053,"star",0.236842105263158,"star",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"stimulus-image-roundslider-response-dynamic",23,180650,"0.0-23.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,15221.0149999992,71,191,"images/blank_canvas.png","delayed",1,3,3,"response",240,70,330,90,"VCS_70.png","VCS_330.png",NA,1,1,139,1,"n","VCS_70.png",38,1.36842105263158,0.730769230769231,0.730769230769231,0.0211161387631976,0.157894736842105,"x",0.105263157894737,"blob","VCS_330.png",40,1.575,0.46031746031746,0.444444444444444,0.213517665130568,0.725,"star",0.275,"star"
NA,"stimulus-image-roundslider-response-dynamic",28,193919,"0.0-28.0","p103011","A1F1TBDHPYAAXT","R_VL4XPVqeHRlxtvj","3S4AW7T80BJ0M26MAIZNBJSKCR94LO","30Y6N4AHYPXL2CMYIBSABF0Y3M1RDO",2020-07-14 18:23:01,1,0,NA,6929.11500000264,218,290,"images/blank_canvas.png","delayed",1,4,4,"response",288,220,18,90,"VCS_220.png","VCS_18.png",NA,-2,-2,-272,2,"n","VCS_220.png",38,1.18421052631579,0.377777777777778,0.377777777777778,0.262626262626263,0.605263157894737,"pentagon",0.526315789473684,"pentagon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
